Name,Position,Team
Robert Griffin III,Quarterback,Ravens.1
Marcus Mariota,Quarterback,Eagles.1
---,---,---
Kenneth Walker III,Halfback,Seahawks.1
D'Andre Swift,Halfback,Eagles.1
Rashaad Penny,Halfback,Seahawks.1
---,---,---
Franco Harris,Fullback,Seahawks.1
---,---,---
Deandre Hopkins,Wide Receiver,Titans.1
JJettas,Wide Receiver,Vikings.1
Kadarius Toney,Wide Receiver,Giants.1
Devin Hester,Wide Receiver,Seahawks.1
Odell Beckham Jr,Wide Receiver,Giants.1
D'Wayne Eskridge,Wide Receiver,Seahawks.1
---,---,---
Michael Mayer,Tight End,Raiders.1
Darnell Washington,Tight End,Seahawks.1 | Steelers.1
Will Dissly,Tight End,Seahawks.1
---,---,---
Jordan Mailata,Left Tackle,Eagles.1
Charles Cross,Left Tackle,Seahawks.1
---,---,---
Damien Lewis,Left Guard,Seahawks.1
Landon Dickerson,Left Guard,Eagles.1
---,---,---
Kevin Mawae,Center,Seahawks.1
Cam Jurgens,Center,Eagles.1
---,---,---
Anthony Bradford,Right Guard,Seahawks.2
Sua Opeta,Right Guard,Eagles.1
---,---,---
Dawand Jones,Right Tackle,Seahawks.1 | Browns.1
Jake Curhan,Right Tackle,Seahawks.1
---,---,---
Jay Ward,Free Safety,Vikings.1
Reed Blankenship,Free Safety,Eagles.1
---,---,---
Ji'Ayir Brown,Strong Safety,49ers.1
Jamal Adams,Strong Safety,Seahawks.1
---,---,---
Richard Sherman,Cornerback,Seahawks.1
AJ Terrell,Cornerback,Falcons.1
Jalen Ramsey,Cornerback,Rams.1
Ronde Barber,Cornerback,Seahawks.1
Tariq Woolen,Cornerback,Seahawks.1
---,---,---
Tyree Wilson,Right Outside Linebacker,Raiders.1
Joshua Onujiogu,Right Outside Linebacker,Seahawks.1
---,---,---
BWagz,Middle Linebacker,Seahawks.1
Dorian Williams,Middle Linebacker,Bills.1
Nakobe Dean,Middle Linebacker,Eagles.1
Devin Bush,Middle Linebacker,Seahawks.1
---,---,---
Tuli Tuipulotu,Left Outside Linebacker,Chargers.1
Derick Hall,Left Outside Linebacker,Seahawks.1
---,---,---
LJ Collier,Right Defensive End,Seahawks.1
Derek Barnett,Right Defensive End,Eagles.1
---,---,---
Bryan Bresee,Defensive Tackle,Saints.1
Joe Klecko,Defensive Tackle,Jets.1
Kentavius Street,Defensive Tackle,Eagles.1
Marlon Tuipulotu,Defensive Tackle,Eagles.1
---,---,---
Reggie White,Left Defensive End,Eagles.1
Tarron Jackson,Left Defensive End,Eagles.1
---,---,---
Jason Myers,Kicker,Seahawks.1
---,---,---
Michael Dickson,Punter,Seahawks.1
,,
TOTALS,,
Seahawks,25,
    - Kenneth Walker III,,
    - Rashaad Penny,,
    - Franco Harris,,
    - Devin Hester,,
    - D'Wayne Eskridge,,
    - Darnell Washington,,
    - Will Dissly,,
    - Charles Cross,,
    - Damien Lewis,,
    - Kevin Mawae,,
    - Anthony Bradford,,
    - Dawand Jones,,
    - Jake Curhan,,
    - Jamal Adams,,
    - Richard Sherman,,
    - Ronde Barber,,
    - Tariq Woolen,,
    - Joshua Onujiogu,,
    - BWagz,,
    - Devin Bush,,
    - Derick Hall,,
    - LJ Collier,,
    - Jason Myers,,
    - Michael Dickson,,
Eagles,13,
    - Marcus Mariota,,
    - D'Andre Swift,,
    - Jordan Mailata,,
    - Landon Dickerson,,
    - Cam Jurgens,,
    - Sua Opeta,,
    - Reed Blankenship,,
    - Nakobe Dean,,
    - Derek Barnett,,
    - Kentavius Street,,
    - Marlon Tuipulotu,,
    - Reggie White,,
    - Tarron Jackson,,
Giants,2,
    - Kadarius Toney,,
    - Odell Beckham Jr,,
Vikings,2,
    - JJettas,,
    - Jay Ward,,
Raiders,2,
    - Michael Mayer,,
    - Tyree Wilson,,
Rams,1,
    - Jalen Ramsey,,
Saints,1,
    - Bryan Bresee,,
Bills,1,
    - Dorian Williams,,
Browns,1,
    - Dawand Jones,,
Steelers,1,
    - Darnell Washington,,
Titans,1,
    - Deandre Hopkins,,
Falcons,1,
    - AJ Terrell,,
Jets,1,
    - Joe Klecko,,
Ravens,1,
    - Robert Griffin III,,
49ers,1,
    - Ji'Ayir Brown,,
Chargers,1,
    - Tuli Tuipulotu,,
